sequenceID,sum_diff,autocorr,mean_diff,abs_skewness,count,max_diff,kurtosis,variance,mean,std_deviation,unique_count,max_value,range_value,iqr,percentile_75,percentile_25,percentile_50,median,min_diff,min_value
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr8:86726451-142766515,1919262,0.9758949062052584,1.879633683060045,2.0802976199624497,1021084,35,6.248287009929013,135.8364484011926,10.64559526934121,11.654889463276458,135,136,136,13.0,15.0,2.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr9:92678796-133073060,1679500,0.97791713551992,1.8258411697559385,2.213834442264284,919851,46,8.251091627307654,137.38420167388023,11.116683028012146,11.721100702318031,171,178,178,12.0,15.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr10:18024675-38818835,1120082,0.9875473346847432,1.160098435431784,1.4748119594526887,965507,10,2.757397287757323,61.85754900155321,8.404746936065715,7.86495702477472,92,91,91,10.0,12.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr10:51448845-125869472,3857305,0.9880486294197884,1.159688541367272,1.213793171279875,3326157,11,1.2915528247339885,64.36241378171421,8.948804280735997,8.022618885483356,74,73,73,10.0,13.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr11:96437584-134946516,1690362,0.9891743920055044,1.1574999520664824,1.3417619647637713,1460357,10,1.5492221568612878,70.67328446599349,8.559023581220208,8.406740418616094,63,62,62,11.0,13.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr12:37856694-109373470,3936345,0.9893891086030034,1.1647190302433506,1.297052661391837,3379653,12,1.7135582900738466,73.35017744838423,9.266597783855325,8.564471813742179,108,111,111,11.0,14.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr12:7239876-34856694,1456957,0.9878013367643044,1.1611532177724646,1.5710295609631404,1254751,10,2.7980039529658027,63.29185848974017,8.152929146898469,7.955618045742277,86,85,85,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr13:19020000-86760324,3216678,0.9876574344988184,1.161596526345097,1.5588973771219967,2769188,18,2.538632088156677,62.59966674424132,7.874366781886964,7.911995117809497,72,71,71,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr14:19000000-107289540,4737176,0.9890669504810228,1.1608699658294923,1.256296938838436,4080713,13,1.5186685109582818,70.5400541182448,9.22163945369351,8.398812661218537,103,108,108,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr15:29209443-82829645,3612736,0.9896117274760484,1.1689893925794004,1.080894655749576,3090479,12,1.097740278657851,75.6905147707119,10.530512907546049,8.700029584473372,84,84,84,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr16:46385801-88389383,2474781,0.9998751222726328,1.2405402316481546,14.32819680056802,1994923,56,245.7656263169406,10601.184831944016,19.864566201302004,102.96205530166934,2511,2848,2848,13.0,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr17:34725848-62410760,1940341,0.9896631074381992,1.1636932731757663,0.9750351398852056,1667400,13,0.95779299743789,75.13434567943432,11.016446563512057,8.668007018884694,96,95,95,12.0,16.0,4.0,9.0,9.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr17:62460760-77546461,918843,0.9881094781025568,1.1516892239121006,1.1370389309995568,797823,12,1.1412626498838772,63.45628963016266,9.520349751761982,7.965945620587845,58,57,57,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr18:18510898-52059136,1427391,0.996960983262877,1.164578288481747,35.48857426810093,1225673,72,1995.549647055041,271.2823656392419,8.157475933629932,16.470651645859125,626,1225,1225,10.0,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr1:3995268-13052998,549128,0.9887141014455676,1.1525309893504934,1.0494135747437658,476455,9,1.3247730257339136,67.03888315568065,10.463330220062756,8.187727594130171,66,65,65,11.0,15.0,4.0,9.0,9.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr2:21178113-87668206,3805668,0.9881846426117497,1.1627532096132576,1.2185202857352904,3272981,10,1.4626180754283826,65.56505211234652,9.174858638042812,8.09722496367407,77,76,76,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr3:60000-66170270,3778174,0.9885195916513,1.1580645457917111,1.234466743226941,3262491,10,1.528936743591312,66.70126952467851,9.183712077673164,8.167084518032032,82,81,81,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr4:75452279-191044276,5021294,0.9868551030737952,1.1594205776444195,1.6360629225245218,4330866,12,2.936406891210668,58.46545999912816,7.447873704704786,7.646270986508925,71,70,70,9.0,11.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr6:95830543-157559467,3091210,0.9859041985861344,1.1599156482291006,1.586916080693545,2665031,10,2.819170561840181,54.55365446322513,7.635235012275655,7.386044574955199,66,66,66,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr7:100606043-130154523,1430135,0.9874905770841876,1.159030752747778,1.4014417336990066,1233907,10,2.2944189996815214,61.42110433770931,8.358527020269761,7.837161752682492,85,85,85,10.0,12.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr8:86726451-142766515,2704520,0.9870414158526034,1.1579774400517222,1.653152955723152,2335556,10,3.654513553843729,59.081523268482165,7.762596572293707,7.686450628767622,106,106,106,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr9:92678796-133073060,2506982,0.9890291688603552,1.160676354625979,1.376803182153162,2159933,10,2.799529719411863,70.2844251079279,9.672892168414483,8.383580685359204,88,87,87,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr10:18024675-38818835,1246032,0.9803387926933296,1.411243447966548,1.853743011895192,882933,13,4.253293939542265,66.78402943200041,8.065556503154825,8.17214962124412,81,81,81,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr10:51448845-125869472,4477886,0.9799136359825592,1.4064145190398447,1.676702619392075,3183903,15,3.353389384611662,64.82670273844965,8.248864051448804,8.051503135343713,80,79,79,10.0,12.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr11:96437584-134946516,2114214,0.9811017819061912,1.403221374592981,1.7625228653147735,1506687,14,3.549967266865263,68.52405017301153,8.017782060905816,8.277925475202801,84,84,84,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr12:37856694-109373470,4656316,0.981385412495392,1.4188506626948043,1.753997462477538,3281753,13,4.272440171605195,71.45804689157652,8.525752852210388,8.453286159333334,128,161,161,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr12:7239876-34856694,1740699,0.979038026504722,1.4195661623250009,1.8752584856286336,1226220,16,4.4750442361798015,63.47865042968986,7.948404853941381,7.967349021455622,86,85,85,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr13:19020000-86760324,4164617,0.9794733610679144,1.4277647444408903,1.811066887378503,2916880,16,3.8670529926730106,65.85769456251337,7.9694581196346785,8.115275384268445,92,95,95,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr14:19000000-107289540,5711085,0.9810770481400178,1.410516751211616,1.5794514570199107,4048932,14,2.80160524236652,69.2864525904704,8.705203248659153,8.323848424284911,81,80,80,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr15:29209443-82829645,3733538,0.9819608772954844,1.4093135672841763,1.4016994867389636,2649190,15,2.199565333039433,72.6576621031681,9.495176638897172,8.52394639255598,91,95,95,11.0,14.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr16:46385801-88389383,2451854,0.9998173558760568,1.4671112940787885,13.233968933622808,1671213,49,215.3957823944669,9806.55928080898,18.4543945026756,99.02807319547816,2239,2536,2536,10.0,12.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr17:34725848-62410760,2065372,0.9823505918785934,1.3912913438868306,1.370271946758182,1484501,16,2.2235478283480163,71.89538830365703,9.880350366890962,8.47911483019643,71,70,70,11.0,14.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr17:62460760-77546461,885794,0.9810476490190476,1.373747869497721,1.646461577781032,644802,11,3.237501763624465,64.87864301755232,8.45059723760162,8.054727991530957,70,70,70,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr18:18510898-52059136,1782306,0.9922000614347882,1.419578213932417,27.84357940826173,1255519,69,1395.3893751360304,174.346300561511,7.615085076370808,13.204025922479516,529,868,868,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr1:3995268-13052998,501524,0.9773166344663048,1.3512048452452798,1.4458554526074454,371169,14,2.686273745976888,51.91547621503528,8.182709224100073,7.205239497409873,64,63,63,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr2:21178113-87668206,4426566,0.9810221878377616,1.41427177511545,1.5213056321699936,3129927,15,2.4876616980979507,69.64433522155035,8.821002854060174,8.345318161792896,81,81,81,10.0,13.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr3:60000-66170270,4089970,0.9793371716350464,1.3988532739221056,1.622337131763535,2923803,18,3.0303046665755864,62.172106308872905,8.194533284219217,7.884929061752738,80,79,79,10.0,12.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr4:75452279-191044276,6838290,0.9759169782735942,1.4266059275695446,2.0252871736240894,4793399,19,5.284578874073628,55.97254362114005,7.218953398204489,7.481480042153427,96,97,97,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr6:95830543-157559467,4106174,0.9789589828738436,1.4265141827229564,1.804540781975386,2878468,16,4.0168317911194205,64.01981541297815,8.113941165925763,8.00123836746401,83,82,82,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr7:100606043-130154523,1859062,0.97907303432098,1.417311513003914,1.886424455647508,1311683,13,4.464882439543786,63.39041357396481,7.901698047470311,7.961809692146931,85,84,84,9.0,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr8:86726451-142766515,3258492,0.9774234392096228,1.4118953067418871,1.9982122025813909,2307886,19,5.120063904087343,58.25513855983083,7.380388372735915,7.632505392060383,85,84,84,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr9:92678796-133073060,2489004,0.9793663931985498,1.3955860526845505,1.607513152499508,1783484,13,3.1340971258151376,61.91669939130059,8.332790762350545,7.868716502155901,79,78,78,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr10:18024675-38818835,1167918,0.97780356472885,1.120582359950952,1.7046612930105391,1042243,8,3.298888325856604,31.42916505272652,5.989326865232004,5.606172049868476,49,48,48,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr10:51448845-125869472,4246696,0.9788199207598876,1.1207391971692118,1.5311995862183445,3789193,10,2.454268859407206,32.942911909903515,6.282253503582425,5.739591615254827,51,50,50,7.0,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr11:96437584-134946516,2031327,0.9808626781318064,1.119280315574116,1.6763162107694465,1814852,8,2.9134712393356064,36.32746911120382,6.124319228234588,6.027227315375107,64,64,64,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr12:37856694-109373470,4288258,0.9802450154789188,1.1236622267035574,1.6165120035155902,3816324,9,3.528434760959913,35.584056205873964,6.426784780327876,5.965237313458196,100,126,126,7.0,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr12:7239876-34856694,1587264,0.9764176053231874,1.1216771336764468,1.839587231819688,1415082,12,4.292583470628701,29.64886114023443,5.839041836444814,5.445076780012788,72,79,79,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr13:19020000-86760324,3750224,0.9768728408373368,1.1207247278968182,1.7959822905456988,3346250,30,3.701467876919382,30.16861611924372,5.757052521479268,5.492596482470173,52,51,51,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr14:19000000-107289540,5376198,0.9805965942349634,1.1234405939973369,1.4507868718245625,4785477,13,2.286350695174582,36.21685533018161,6.722600484758364,6.018044144917982,80,87,87,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr15:29209443-82829645,3511454,0.9808448994475872,1.1255291562828045,1.228923537172197,3119826,13,1.4508139048096904,36.87634856181155,7.245093796897647,6.072589938552705,73,81,81,8.0,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr16:46385801-88389383,2431269,0.99979158932194,1.1654887632181572,15.118893154982008,2086052,35,280.27828464049145,4431.682790968101,12.569477175065629,66.57088546029789,1792,2042,2042,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr17:34725848-62410760,2008165,0.982779994458856,1.1271580103029943,1.1160215247907304,1781619,9,1.3042385101170866,41.19759909369827,8.106721470752165,6.418535587943583,70,69,69,9.0,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr17:62460760-77546461,918559,0.9805401116397238,1.1178994819169925,1.37588783284614,821684,7,2.019665936714255,35.61298435143697,6.921522142332089,5.967661547996583,51,50,50,8.0,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr18:18510898-52059136,1703102,0.996382036942732,1.1232085303337174,43.57569914399719,1516284,64,2672.4362697037154,205.39134989418145,5.80879835175996,14.331481078178255,624,1136,1136,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr1:3995268-13052998,539624,0.9790870943683804,1.117236267569912,1.1123370719673205,483000,8,1.05525489339332,33.05556413450698,7.094151138716356,5.749396849627531,42,41,41,7.0,10.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr2:21178113-87668206,4101647,0.9800348683695548,1.1241035448211143,1.4204608650598225,3648817,8,1.92175305577761,35.22921838471064,6.670749999246331,5.93542065777234,49,48,48,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr3:60000-66170270,3971780,0.9794152043974368,1.120992308133035,1.4283039534716742,3543094,9,2.028839945775083,33.90694913761022,6.530068917166748,5.82296738249582,65,64,64,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr4:75452279-191044276,6210340,0.9721123377527204,1.1185333714442356,1.9727573555807425,5552218,8,5.004128941707599,24.87808103351283,5.262723293645891,4.9877932027614005,67,66,66,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr6:95830543-157559467,3701116,0.975969178580024,1.121765478044728,1.714097289328767,3299368,8,3.386894240967372,29.10806896502445,5.93604381202703,5.395189428094666,51,50,50,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr7:100606043-130154523,1718328,0.9766457458345044,1.1200557965511737,1.666496017914053,1534146,8,3.0594818372842494,29.81600737858173,5.950516443676156,5.460403591180942,50,49,49,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr8:86726451-142766515,3056878,0.9740364228441764,1.117137470403081,1.9277552203625865,2736350,9,4.952639100336064,26.628041577484783,5.480263124234838,5.16023658154205,71,70,70,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr9:92678796-133073060,2419980,0.9790957419819936,1.1201899709766563,1.394120501343289,2160331,8,1.9432355349895385,33.337622277055125,6.598377285702978,5.773874113370946,49,48,48,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr10:18024675-38818835,1143229,0.9671514270620368,1.0415962841685389,1.786348043954492,1097575,7,4.500042377349291,17.185556855714008,4.941357993758968,4.145546629301618,52,52,52,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr10:51448845-125869472,4132802,0.9684944504376952,1.0420855821951918,1.5830428056205854,3965896,7,2.993167487869668,17.938843445217397,5.104443233004597,4.235427185682384,46,45,45,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr11:96437584-134946516,2007896,0.9708211185580278,1.041296169719323,1.7329962703877149,1928267,5,3.4198013181904483,19.328943690485723,4.964038175211213,4.39646945747218,41,40,40,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr12:37856694-109373470,4204448,0.9704591066154896,1.043416801091947,1.761014209214128,4029501,13,7.0814337032000925,19.20907023768139,5.260270936773561,4.38281533237272,98,128,128,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr12:7239876-34856694,1565586,0.9656813512486916,1.041342103495272,1.813514942863988,1503432,13,4.81795688072948,16.438267689358245,4.91154106071974,4.054413359458831,66,66,66,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr13:19020000-86760324,3737266,0.9654169121302576,1.0409376629395748,1.7997310325982263,3590289,42,4.644709173240334,16.30272496263655,4.820827794085657,4.037663304763852,69,77,77,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr14:19000000-107289540,5157955,0.9708941959681155,1.0437171141759187,1.6209490552118984,4941910,15,6.15002137554415,19.514028257836603,5.392682586287488,4.417468535013759,105,125,125,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr15:29209443-82829645,3294565,0.9724985163259942,1.0461703047186763,1.3415609474057144,3149168,7,2.779697253762285,20.78879993596102,5.7987395400944,4.559473646810673,79,92,92,6.0,8.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr16:46385801-88389383,2324008,0.9997618859360804,1.08205123429774,15.532168464927262,2147781,29,293.0026721667116,3122.272913718028,10.171001140246608,55.87730231245983,1587,1772,1772,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr17:34725848-62410760,1843621,0.9767485028142918,1.049373377092775,1.3759773801289,1756879,11,3.540712438291926,24.81161346658424,6.450154506941002,4.981125722824534,67,66,66,6.0,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr17:62460760-77546461,862473,0.9723086921570548,1.0442914517982351,1.3860035590801465,825894,6,2.1624206293352497,20.53736244650981,5.591661883970582,4.5318166828005975,39,38,38,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr18:18510898-52059136,1716787,0.9988127191160326,1.050768129070166,50.39107332349055,1633841,155,3311.9001420422205,599.0744572474762,5.236253099291791,24.4759975741026,967,2129,2129,4.0,6.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr1:3995268-13052998,502204,0.9695477704379146,1.043957277500842,1.191692663918596,481059,6,1.4731518369310257,18.65968381880029,5.556135525995772,4.319685615736438,36,35,35,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr2:21178113-87668206,3951390,0.97031960748125,1.0440751215985693,1.4711425118997556,3784585,7,2.4057028035917205,19.14629897399812,5.397275262677414,4.375648406122013,41,40,40,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr3:60000-66170270,3843106,0.9693802042767212,1.043362559167722,1.4881975483718803,3683386,8,2.521064595741985,18.52147553216593,5.284849592195877,4.303658389343411,42,41,41,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr4:75452279-191044276,6273158,0.9611131230541416,1.038904184908032,4.1970911374867175,6038246,12,131.8099124285496,14.403134375434991,4.5304290351867085,3.79514615995682,189,243,243,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr6:95830543-157559467,3625292,0.9651725120195784,1.0412171005487705,1.7177782737737417,3481784,6,3.935676912983244,16.184954713893678,4.979315776050439,4.023052909656257,45,44,44,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr7:100606043-130154523,1697102,0.9660177375791016,1.0417024212447872,1.7028751885479252,1629163,6,3.717848580218693,16.61415523448748,4.976957492896659,4.076046520157428,44,43,43,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr8:86726451-142766515,3054532,0.966125553584928,1.039884931273671,2.831432826601372,2937376,8,24.094187168057843,16.580038458989012,4.715348664930877,4.0718593368372895,110,109,109,4.0,6.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr9:92678796-133073060,2309106,0.9692899702691296,1.0426623017440877,1.452527963623777,2214626,7,2.537601344257046,18.43292442902818,5.317943526356143,4.293358176186583,46,45,45,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr10:18024675-38818835,920626,0.9709343915413644,1.0666380878451185,1.743076312540848,863111,6,3.8372778445907474,20.82292321310105,4.920800453244136,4.563214131848411,51,50,50,5.0,7.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr10:51448845-125869472,3330866,0.971980287161601,1.0676800472349628,1.5264675878939735,3119724,10,2.5747811908011986,21.66231620935515,5.139463939758773,4.654279343717473,40,39,39,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr11:96437584-134946516,1607426,0.976097352221166,1.0678733693005655,1.651745489770024,1505260,7,2.794899283067492,25.416433199627868,5.139245047367233,5.041471332818215,43,42,42,5.0,7.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr12:37856694-109373470,3412238,0.9747242212774672,1.0695138658819097,1.549291835646428,3190458,8,2.5519767101097792,24.141283359322884,5.357901279377444,4.913377998823506,45,44,44,5.0,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr12:7239876-34856694,1254438,0.9714247165535675,1.0662112060978906,1.8684856109357484,1176539,9,4.593691269839441,21.15600997839942,4.910453457131468,4.599566281553014,55,55,55,5.0,7.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr13:19020000-86760324,2869598,0.970327004476912,1.0648692717685877,1.7806347142665249,2694790,33,4.081733412864795,20.30990577312922,4.751415138099815,4.506651281509278,68,71,71,4.0,6.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr14:19000000-107289540,4271154,0.9742070397463224,1.0697498864167452,1.4459554378683854,3992667,12,2.284307674054785,23.667438799887204,5.495555226619199,4.8649191976729895,63,67,67,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr15:29209443-82829645,2816605,0.9746037052337128,1.0716521013909082,1.2953192133840934,2628284,8,1.7951874652624586,24.159404403038288,5.86511351132526,4.915221704362712,49,48,48,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr16:46385801-88389383,1923604,0.9997826360782952,1.1178278527766363,13.448809451594864,1720842,36,217.2900055489341,3790.2417808561377,11.608819984635428,61.56493954237377,1502,1740,1740,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr17:34725848-62410760,1690699,0.9794035724042912,1.077339472691496,2.067401178484262,1569329,25,15.104314519285746,30.279933527288904,6.731792377506565,5.50272055689628,102,101,101,7.0,10.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr17:62460760-77546461,775054,0.9751887952803356,1.0721588731911174,1.3345012192479848,722892,7,1.9462062997011584,24.7552006465643,5.879105039203643,4.975459842724519,43,42,42,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr18:18510898-52059136,1273585,0.9943827411883212,1.0680602937871302,36.74207543285711,1192429,32,1960.2083475139948,111.1929390413051,4.709756304148926,10.544806259069206,496,749,749,4.0,6.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr1:3995268-13052998,457670,0.971914012277178,1.0730505283543526,1.1712786085897604,426514,6,1.3035009097078296,21.916644047520705,5.805938374824742,4.681521552606664,33,32,32,6.0,8.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr2:21178113-87668206,3255700,0.9739406286300564,1.0700292871916277,1.4284469087596017,3042628,9,2.143860949863612,23.439107863802995,5.507276932967159,4.841395239370877,39,38,38,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr3:60000-66170270,3238658,0.9731969367453782,1.0699721361594945,1.416561251862222,3026863,11,2.0893063845726165,22.78661423287795,5.441795680874886,4.773532678517866,41,40,40,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr4:75452279-191044276,4742016,0.9664256420068912,1.062522350537085,2.414647279454313,4462981,9,20.018262750279227,17.82634779677387,4.391400501144863,4.222125980684834,125,150,150,4.0,6.0,2.0,3.0,3.0,1,0
H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr6:95830543-157559467,2930794,0.9699827473095762,1.0659816649905345,1.6784006161411338,2749386,6,3.34402431235445,20.125306916076337,4.973103812996793,4.4861238186296575,42,41,41,5.0,7.0,2.0,4.0,4.0,1,0
